date,92_reserves,92_imports,esimated_usage,75_per_imports,85_per_imports,95_per_imports,92_reserves_75,92_reserves_85,92_reserves_95,92_reserves_100
01-31-2019,30963,51032,,,,,,,,
02-28-2019,36414.5,33815,28363.5,,,,,,,
03-31-2019,38936,40407,37885.5,,,,,,,
04-30-2019,41791,35288,32433,,,,,,,
05-31-2019,47588,28940,23143,,,,,,,
06-30-2019,43931.3,30035,33691.7,,,,,,,
07-31-2019,41848,54880,56963.3,,,,,,,
08-31-2019,48796,42280,35332,,,,,,,
09-30-2019,44138.3,29095,33752.7,,,,,,,
10-31-2019,35944,26060,34254.3,,,,,,,
11-30-2019,32602,35181,38523,,,,,,,
12-31-2019,"44,181",61813,50234,,,,,,,
01-31-2020,50160,47763,41784,,,,,,,
02-28-2020,44887,24698,29971,,,,,,,
03-31-2020,42756,31888,34019,,,,,,,
04-30-2020,42577,39280,39459,,,,,,,
05-31-2020,47350,52520,47747,,,,,,,
06-30-2020,51957,56638,52031,,,,,,,
07-31-2020,47595,45696,50058,,,,,,,
08-31-2020,38584,47000,56011,,,,,,,
09-30-2020,32487,32803,38900,,,,,,,
10-31-2020,18826,39905,53566,,,,,,,
11-30-2020,51540,69808,37094,,,,,,,
12-31-2020,53768,34559,32331,,,,,,,
01-31-2021,56802,42658,39624,,,,,,,
02-28-2021,59764,25866,22904,,,,,,,
03-31-2021,50965,28294,37093,,,,,,,
04-30-2021,47774,16839,20030,,,,,,,
05-31-2021,41867,26219,32126,,,,,,,
06-30-2021,33848,31340,39359,33848,33848,33848,33848,33848,33848,33848
07-31-2021,,,50058,34272,38841.6,43411.2,18062,22631.6,27201.2,29486
08-31-2021,,,56011,35250,39950,44650,-2699,6570.6,15840.2,20475
09-30-2021,,,38900,24602.25,27882.55,31162.85,-16996.75,-4446.85,8103.05,14378
10-31-2021,,,53566,29928.75,33919.25,37909.75,-40634,-24093.6,-7553.2,717
11-30-2021,,,37094,52356,59336.8,66317.6,-25372,-1850.8,21670.4,33431
12-31-2021,,,32331,25919.25,29375.15,32831.05,-31783.75,-4806.65,22170.45,35659