date,80,92,95,diesel,jet
01-31-2019,11705,30963,5336,57690.3,1675
02-28-2019,13289.5,36414.5,5797,83303.8,1903
03-31-2019,13230,38936,6388.8,88160,2567.8
04-30-2019,13258.8,41791,6005,79821,2278.4
05-31-2019,13060.8,47588,5629,65069.3,2321
06-30-2019,10776.5,43931.3,6275,51408.3,2266
07-31-2019,9253,41848,4131,114702,2099
08-31-2019,7359,48796,4300,87823,2268
09-30-2019,5415.4,44138.3,4937.1,63017.6,2445.2
10-31-2019,6858.8,35944,5574.2,55404.9,2501
11-30-2019,9412,32602,3989,53932,2158
12-31-2019,"32,159","44,181","4,698","88,865","2,503"
01-31-2020,19892,50160,5950,106450,2250
02-28-2020,19068,44887,5548,101221,2500
03-31-2020,18619,42756,5856,102628,1800
04-30-2020,16115,42577,4808,95909,1400
05-31-2020,12015,47350,3621,103583,2100
06-30-2020,13174,51957,5127,107655,1800
07-31-2020,12354,47595,2355,109320,1600
08-31-2020,12974,38584,1609,94823,1750
09-30-2020,11300,32487,4889,61220,2565
10-31-2020,10905,18826,3251,43303,2356
11-30-2020,8796,51540,4835,45817,2401
12-31-2020,11778,53768,5745,46166,600
01-31-2021,12918,56802,5188,73784,1024
02-28-2021,10529,59764,5436,77838,1903
03-31-2021,10905,50965,4723,82250,1017
04-30-2021,9174,47774,5160,85924,1037
05-31-2021,6149,41867,5382,67624,900
06-30-2021,9193,33848,5325,76048,1267