Auction Number,Price,Bid,Name,Time
637,"338,400,000 ₮","1,000,000 ₮",Б. С***Н,09:29:41
636,"337,400,000 ₮","1,000,000 ₮",Т. Б***А,09:29:36
635,"336,400,000 ₮","1,000,000 ₮",Б. С***Н,09:29:21
634,"335,400,000 ₮","1,000,000 ₮",Т. Б***А,09:29:21
633,"334,400,000 ₮","50,000 ₮",С. Г***Р,09:29:15
632,"334,350,000 ₮","1,000,000 ₮",Т. Б***А,09:29:11
631,"333,350,000 ₮","50,000 ₮",С. Г***Р,09:29:05
630,"333,300,000 ₮","1,000,000 ₮",Т. Б***А,09:29:00
629,"332,300,000 ₮","50,000 ₮",Б. Б***Т,09:28:54
628,"332,250,000 ₮","1,000,000 ₮",Т. Б***А,09:28:51
627,"331,250,000 ₮","50,000 ₮",Ч. Б***Т,09:28:45
626,"331,200,000 ₮","1,000,000 ₮",Х. Б***Р,09:28:42
625,"330,200,000 ₮","50,000 ₮",Ж. Б***Ү,09:28:04
624,"330,150,000 ₮","50,000 ₮",С. Г***Р,09:27:30
623,"330,100,000 ₮","300,000 ₮",Ж. Б***Ү,09:27:26
622,"329,800,000 ₮","100,000 ₮",Б. Н***Н,09:27:19
621,"329,700,000 ₮","1,000,000 ₮",О. Б***Р,09:26:39
620,"328,700,000 ₮","1,000,000 ₮",Б. Н***Н,09:26:30
619,"327,700,000 ₮","1,000,000 ₮",О. Б***Р,09:26:30
618,"326,700,000 ₮","50,000 ₮",С. Г***Р,09:26:19
617,"326,650,000 ₮","50,000 ₮",Г. Д***М,09:26:13
616,"326,600,000 ₮","50,000 ₮",С. Г***Р,09:26:13
615,"326,550,000 ₮","50,000 ₮",Ч. Б***Т,09:26:04
614,"326,500,000 ₮","1,000,000 ₮",Т. Б***А,09:25:44
613,"325,500,000 ₮","1,000,000 ₮",Х. Б***Р,09:25:42
612,"324,500,000 ₮","50,000 ₮",Н. Б***Л,09:25:34
611,"324,450,000 ₮","50,000 ₮",С. Г***Р,09:25:30
610,"324,400,000 ₮","1,000,000 ₮",О. Б***Р,09:25:24
609,"323,400,000 ₮","50,000 ₮",С. Г***Р,09:25:20
608,"323,350,000 ₮","1,000,000 ₮",О. Б***Р,09:25:17
607,"322,350,000 ₮","50,000 ₮",С. Г***Р,09:25:13
606,"322,300,000 ₮","1,000,000 ₮",О. Б***Р,09:25:08
605,"321,300,000 ₮","50,000 ₮",С. Г***Р,09:25:07
604,"321,250,000 ₮","1,000,000 ₮",О. Б***Р,09:25:02
603,"320,250,000 ₮","50,000 ₮",С. Г***Р,09:25:00
602,"320,200,000 ₮","50,000 ₮",Ч. Б***Т,09:24:55
601,"320,150,000 ₮","50,000 ₮",С. Г***Р,09:24:52
600,"320,100,000 ₮","1,000,000 ₮",О. Б***Р,09:24:47
599,"319,100,000 ₮","50,000 ₮",Ж. Э***Д,09:24:45
598,"319,050,000 ₮","50,000 ₮",С. Г***Р,09:24:44
597,"319,000,000 ₮","1,000,000 ₮",О. Б***Р,09:24:35
596,"318,000,000 ₮","50,000 ₮",С. Г***Р,09:24:33
595,"317,950,000 ₮","1,000,000 ₮",О. Б***Р,09:24:29
594,"316,950,000 ₮","1,000,000 ₮",Ж. Э***Д,09:24:25
593,"315,950,000 ₮","50,000 ₮",Ч. Б***Т,09:24:24
592,"315,900,000 ₮","1,000,000 ₮",Х. Ц***А,09:24:16
591,"314,900,000 ₮","1,000,000 ₮",О. Б***Р,09:24:15
590,"313,900,000 ₮","1,000,000 ₮",Ж. Б***Ү,09:24:10
589,"312,900,000 ₮","1,000,000 ₮",О. Б***Р,09:24:04
588,"311,900,000 ₮","1,000,000 ₮",Х. Ц***А,09:24:04
587,"310,900,000 ₮","1,000,000 ₮",Ж. Э***Д,09:23:58
586,"309,900,000 ₮","1,000,000 ₮",Ж. Б***Ү,09:23:58
585,"308,900,000 ₮","1,000,000 ₮",О. Б***Р,09:23:58
584,"307,900,000 ₮","1,000,000 ₮",Б. О***М,09:23:57
583,"306,900,000 ₮","50,000 ₮",Ч. Б***Т,09:23:55
582,"306,850,000 ₮","50,000 ₮",С. Г***Р,09:23:41
581,"306,800,000 ₮","50,000 ₮",Б. А***К,09:23:37
580,"306,750,000 ₮","50,000 ₮",С. Г***Р,09:23:10
579,"306,700,000 ₮","50,000 ₮",Ч. Б***Т,09:23:04
578,"306,650,000 ₮","500,000 ₮",Л. Б***Д,09:22:52
577,"306,150,000 ₮","300,000 ₮",Т. Б***А,09:22:47
576,"305,850,000 ₮","50,000 ₮",М. Б***Н,09:22:36
575,"305,800,000 ₮","100,000 ₮",Т. Б***А,09:22:31
574,"305,700,000 ₮","50,000 ₮",Ч. Б***Т,09:22:24
573,"305,650,000 ₮","50,000 ₮",С. Г***Р,09:22:13
572,"305,600,000 ₮","50,000 ₮",Т. Б***А,09:22:10
571,"305,550,000 ₮","50,000 ₮",С. Г***Р,09:21:51
570,"305,500,000 ₮","1,000,000 ₮",М. Б***Н,09:21:49
569,"304,500,000 ₮","1,000,000 ₮",Х. Ц***А,09:21:46
568,"303,500,000 ₮","50,000 ₮",С. Г***Р,09:21:33
567,"303,450,000 ₮","50,000 ₮",Д. О***Р,09:21:26
566,"303,400,000 ₮","50,000 ₮",Г. Э***Г,09:21:13
565,"303,350,000 ₮","50,000 ₮",С. Г***Р,09:20:57
564,"303,300,000 ₮","50,000 ₮",Х. Ц***А,09:20:48
563,"303,250,000 ₮","100,000 ₮",Б. Н***Н,09:20:44
562,"303,150,000 ₮","1,000,000 ₮",Б. С***Н,09:20:43
561,"302,150,000 ₮","300,000 ₮",Б. Н***Н,09:20:43
560,"301,850,000 ₮","50,000 ₮",С. Г***Р,09:20:42
559,"301,800,000 ₮","50,000 ₮",Х. Ц***А,09:20:36
558,"301,750,000 ₮","50,000 ₮",С. Г***Р,09:20:31
557,"301,700,000 ₮","100,000 ₮",Х. Ц***А,09:20:20
556,"301,600,000 ₮","50,000 ₮",Б. А***К,09:20:19
555,"301,550,000 ₮","50,000 ₮",Ч. Б***Т,09:20:18
554,"301,500,000 ₮","50,000 ₮",С. Г***Р,09:20:08
553,"301,450,000 ₮","50,000 ₮",Х. Ц***А,09:20:05
552,"301,400,000 ₮","1,000,000 ₮",О. Б***Р,09:20:04
551,"300,400,000 ₮","50,000 ₮",Д. Л***Н,09:20:02
550,"300,350,000 ₮","1,000,000 ₮",С. Г***Р,09:20:01
549,"299,350,000 ₮","50,000 ₮",Х. Ц***А,09:20:00
548,"299,300,000 ₮","1,000,000 ₮",О. Б***Р,09:19:56
547,"298,300,000 ₮","50,000 ₮",Х. Ц***А,09:19:51
546,"298,250,000 ₮","1,000,000 ₮",Ж. Б***Ү,09:19:50
545,"297,250,000 ₮","1,000,000 ₮",О. Б***Р,09:19:49
544,"296,250,000 ₮","50,000 ₮",Х. Ц***А,09:19:45
543,"296,200,000 ₮","1,000,000 ₮",О. Б***Р,09:19:42
542,"295,200,000 ₮","1,000,000 ₮",Ч. Б***Т,09:19:41
541,"294,200,000 ₮","50,000 ₮",Х. Ц***А,09:19:39
540,"294,150,000 ₮","1,000,000 ₮",О. Б***Р,09:19:35
539,"293,150,000 ₮","50,000 ₮",Х. Ц***А,09:19:31
538,"293,100,000 ₮","1,000,000 ₮",О. Б***Р,09:19:30
537,"292,100,000 ₮","1,000,000 ₮",Б. А***К,09:19:29
536,"291,100,000 ₮","50,000 ₮",Ж. Б***Ү,09:19:29
535,"291,050,000 ₮","50,000 ₮",Д. О***Р,09:19:27
534,"291,000,000 ₮","1,000,000 ₮",О. Б***Р,09:19:26
533,"290,000,000 ₮","50,000 ₮",Х. Ц***А,09:19:25
532,"289,950,000 ₮","50,000 ₮",Ч. Б***Т,09:19:22
531,"289,900,000 ₮","1,000,000 ₮",О. Б***Р,09:19:20
530,"288,900,000 ₮","50,000 ₮",Х. Ц***А,09:19:17
529,"288,850,000 ₮","1,000,000 ₮",О. Б***Р,09:19:13
528,"287,850,000 ₮","50,000 ₮",Х. Ц***А,09:19:12
527,"287,800,000 ₮","500,000 ₮",Ё. Х***Р,09:19:09
526,"287,300,000 ₮","1,000,000 ₮",М. Б***Н,09:19:08
525,"286,300,000 ₮","1,000,000 ₮",О. Б***Р,09:19:08
524,"285,300,000 ₮","50,000 ₮",Х. Ц***А,09:19:06
523,"285,250,000 ₮","1,000,000 ₮",О. Б***Р,09:19:05
522,"284,250,000 ₮","1,000,000 ₮",М. Б***Н,09:19:03
521,"283,250,000 ₮","50,000 ₮",Х. Ц***А,09:19:01
520,"283,200,000 ₮","1,000,000 ₮",О. Б***Р,09:18:59
519,"282,200,000 ₮","1,000,000 ₮",М. Б***Н,09:18:58
518,"281,200,000 ₮","1,000,000 ₮",Б. С***Н,09:18:58
517,"280,200,000 ₮","50,000 ₮",Х. Ц***А,09:18:57
516,"280,150,000 ₮","1,000,000 ₮",О. Б***Р,09:18:57
515,"279,150,000 ₮","1,000,000 ₮",Ж. Б***Ү,09:18:55
514,"278,150,000 ₮","1,000,000 ₮",О. Б***Р,09:18:55
513,"277,150,000 ₮","1,000,000 ₮",М. Б***Н,09:18:54
512,"276,150,000 ₮","1,000,000 ₮",О. Б***Р,09:18:53
511,"275,150,000 ₮","50,000 ₮",Х. Ц***А,09:18:51
510,"275,100,000 ₮","50,000 ₮",Д. О***Р,09:18:51
509,"275,050,000 ₮","1,000,000 ₮",О. Б***Р,09:18:49
508,"274,050,000 ₮","1,000,000 ₮",М. Б***Н,09:18:49
507,"273,050,000 ₮","1,000,000 ₮",О. Б***Р,09:18:47
506,"272,050,000 ₮","300,000 ₮",Х. Ц***А,09:18:46
505,"271,750,000 ₮","1,000,000 ₮",М. Б***Н,09:18:45
504,"270,750,000 ₮","1,000,000 ₮",О. Б***Р,09:18:36
503,"269,750,000 ₮","300,000 ₮",Х. Ц***А,09:18:35
502,"269,450,000 ₮","1,000,000 ₮",О. Б***Р,09:18:33
501,"268,450,000 ₮","1,000,000 ₮",М. Б***Н,09:18:32
500,"267,450,000 ₮","1,000,000 ₮",О. Б***Р,09:18:31
499,"266,450,000 ₮","50,000 ₮",Х. Ц***А,09:18:28
498,"266,400,000 ₮","1,000,000 ₮",О. Б***Р,09:18:27
497,"265,400,000 ₮","1,000,000 ₮",М. Б***Н,09:18:24
496,"264,400,000 ₮","50,000 ₮",Х. Ц***А,09:18:23
495,"264,350,000 ₮","1,000,000 ₮",О. Б***Р,09:18:19
494,"263,350,000 ₮","50,000 ₮",Х. Ц***А,09:18:18
493,"263,300,000 ₮","1,000,000 ₮",М. Б***Н,09:18:16
492,"262,300,000 ₮","1,000,000 ₮",О. Б***Р,09:18:15
491,"261,300,000 ₮","50,000 ₮",Х. Ц***А,09:18:11
490,"261,250,000 ₮","1,000,000 ₮",О. Б***Р,09:18:10
489,"260,250,000 ₮","50,000 ₮",Ц. О***Л,09:18:10
488,"260,200,000 ₮","1,000,000 ₮",О. Б***Р,09:18:08
487,"259,200,000 ₮","1,000,000 ₮",Б. А***К,09:18:06
486,"258,200,000 ₮","50,000 ₮",Х. Ц***А,09:18:05
485,"258,150,000 ₮","1,000,000 ₮",О. Б***Р,09:18:01
484,"257,150,000 ₮","50,000 ₮",Х. Ц***А,09:18:01
483,"257,100,000 ₮","500,000 ₮",Э. Э***Р,09:18:00
482,"256,600,000 ₮","1,000,000 ₮",М. Б***Н,09:17:56
481,"255,600,000 ₮","1,000,000 ₮",О. Б***Р,09:17:56
480,"254,600,000 ₮","50,000 ₮",Х. Ц***А,09:17:53
479,"254,550,000 ₮","1,000,000 ₮",О. Б***Р,09:17:51
478,"253,550,000 ₮","50,000 ₮",Х. Ц***А,09:17:44
477,"253,500,000 ₮","1,000,000 ₮",О. Б***Р,09:17:43
476,"252,500,000 ₮","1,000,000 ₮",М. Б***Н,09:17:42
475,"251,500,000 ₮","50,000 ₮",Х. Ц***А,09:17:38
474,"251,450,000 ₮","1,000,000 ₮",О. Б***Р,09:17:36
473,"250,450,000 ₮","50,000 ₮",Ч. Б***Т,09:17:36
472,"250,400,000 ₮","50,000 ₮",Х. Ц***А,09:17:29
471,"250,350,000 ₮","1,000,000 ₮",О. Б***Р,09:17:28
470,"249,350,000 ₮","1,000,000 ₮",М. Б***Н,09:17:27
469,"248,350,000 ₮","50,000 ₮",Ж. А***Г,09:17:26
468,"248,300,000 ₮","1,000,000 ₮",О. Б***Р,09:17:22
467,"247,300,000 ₮","100,000 ₮",Х. Ц***А,09:17:19
466,"247,200,000 ₮","50,000 ₮",Д. О***Р,09:17:18
465,"247,150,000 ₮","1,000,000 ₮",О. Б***Р,09:17:14
464,"246,150,000 ₮","50,000 ₮",Х. Ц***А,09:17:05
463,"246,100,000 ₮","50,000 ₮",Ч. Б***Т,09:17:02
462,"246,050,000 ₮","50,000 ₮",Х. Ц***А,09:16:52
461,"246,000,000 ₮","50,000 ₮",Д. Э***Л,09:16:46
460,"245,950,000 ₮","50,000 ₮",Х. Ц***А,09:16:45
459,"245,900,000 ₮","100,000 ₮",А. Ө***Л,09:16:41
458,"245,800,000 ₮","50,000 ₮",Х. Ц***А,09:16:24
457,"245,750,000 ₮","1,000,000 ₮",Б. С***Н,09:16:23
456,"244,750,000 ₮","500,000 ₮",Л. П***Н,09:16:19
455,"244,250,000 ₮","50,000 ₮",Х. Ц***А,09:16:19
454,"244,200,000 ₮","1,000,000 ₮",С. Г***Р,09:16:15
453,"243,200,000 ₮","50,000 ₮",Х. Ц***А,09:16:04
452,"243,150,000 ₮","1,000,000 ₮",Ч. Б***Т,09:15:58
451,"242,150,000 ₮","1,000,000 ₮",О. Б***Р,09:15:58
450,"241,150,000 ₮","1,000,000 ₮",Ч. Б***Т,09:15:57
449,"240,150,000 ₮","50,000 ₮",Д. О***Р,09:15:57
448,"240,100,000 ₮","1,000,000 ₮",Х. Ц***А,09:15:53
447,"239,100,000 ₮","1,000,000 ₮",О. Б***Р,09:15:53
446,"238,100,000 ₮","1,000,000 ₮",Г. Д***М,09:15:50
445,"237,100,000 ₮","50,000 ₮",Х. Ц***А,09:15:50
444,"237,050,000 ₮","1,000,000 ₮",О. Б***Р,09:15:47
443,"236,050,000 ₮","1,000,000 ₮",М. Б***Н,09:15:46
442,"235,050,000 ₮","50,000 ₮",Х. Ц***А,09:15:45
441,"235,000,000 ₮","1,000,000 ₮",Х. Б***Р,09:15:44
440,"234,000,000 ₮","1,000,000 ₮",О. Б***Р,09:15:42
439,"233,000,000 ₮","50,000 ₮",Х. Ц***А,09:15:41
438,"232,950,000 ₮","1,000,000 ₮",Х. Б***Р,09:15:38
437,"231,950,000 ₮","1,000,000 ₮",Б. С***Н,09:15:37
436,"230,950,000 ₮","1,000,000 ₮",Х. Б***Р,09:15:35
435,"229,950,000 ₮","1,000,000 ₮",О. Б***Р,09:15:35
434,"228,950,000 ₮","1,000,000 ₮",С. Г***Р,09:15:34
433,"227,950,000 ₮","1,000,000 ₮",Х. Б***Р,09:15:33
432,"226,950,000 ₮","500,000 ₮",Х. Ц***А,09:15:32
431,"226,450,000 ₮","1,000,000 ₮",Х. Б***Р,09:15:31
430,"225,450,000 ₮","50,000 ₮",Ч. Б***Т,09:15:31
429,"225,400,000 ₮","1,000,000 ₮",О. Б***Р,09:15:29
428,"224,400,000 ₮","1,000,000 ₮",Б. С***Н,09:15:28
427,"223,400,000 ₮","1,000,000 ₮",Х. Б***Р,09:15:28
426,"222,400,000 ₮","500,000 ₮",Х. Ц***А,09:15:26
425,"221,900,000 ₮","50,000 ₮",Б. А***К,09:15:26
424,"221,850,000 ₮","1,000,000 ₮",Х. Б***Р,09:15:26
423,"220,850,000 ₮","1,000,000 ₮",О. Б***Р,09:15:24
422,"219,850,000 ₮","1,000,000 ₮",Х. Б***Р,09:15:23
421,"218,850,000 ₮","50,000 ₮",Х. Ц***А,09:15:21
420,"218,800,000 ₮","1,000,000 ₮",Б. С***Н,09:15:19
419,"217,800,000 ₮","1,000,000 ₮",О. Б***Р,09:15:18
418,"216,800,000 ₮","50,000 ₮",Х. Ц***А,09:15:14
417,"216,750,000 ₮","1,000,000 ₮",Х. Б***Р,09:15:13
416,"215,750,000 ₮","50,000 ₮",Х. Ц***А,09:15:12
415,"215,700,000 ₮","1,000,000 ₮",О. Б***Р,09:15:11
414,"214,700,000 ₮","50,000 ₮",Х. Ц***А,09:15:09
413,"214,650,000 ₮","1,000,000 ₮",Б. С***Н,09:15:08
412,"213,650,000 ₮","50,000 ₮",Д. О***Р,09:15:07
411,"213,600,000 ₮","50,000 ₮",Х. Ц***А,09:15:06
410,"213,550,000 ₮","1,000,000 ₮",О. Б***Р,09:15:04
409,"212,550,000 ₮","50,000 ₮",Ч. Б***Т,09:15:03
408,"212,500,000 ₮","1,000,000 ₮",Х. Б***Р,09:15:01
407,"211,500,000 ₮","1,000,000 ₮",О. Б***Р,09:15:00
406,"210,500,000 ₮","50,000 ₮",Х. Ц***А,09:15:00
405,"210,450,000 ₮","1,000,000 ₮",Б. С***Н,09:14:58
404,"209,450,000 ₮","50,000 ₮",С. Г***Р,09:14:58
403,"209,400,000 ₮","1,000,000 ₮",О. Б***Р,09:14:57
402,"208,400,000 ₮","1,000,000 ₮",Х. Б***Р,09:14:56
401,"207,400,000 ₮","50,000 ₮",Х. Ц***А,09:14:54
400,"207,350,000 ₮","50,000 ₮",Г. У***Т,09:14:53
399,"207,300,000 ₮","1,000,000 ₮",О. Б***Р,09:14:52
398,"206,300,000 ₮","50,000 ₮",З. О***Т,09:14:51
397,"206,250,000 ₮","1,000,000 ₮",Б. С***Н,09:14:49
396,"205,250,000 ₮","50,000 ₮",Х. Ц***А,09:14:48
395,"205,200,000 ₮","1,000,000 ₮",О. Б***Р,09:14:46
394,"204,200,000 ₮","50,000 ₮",Д. О***Р,09:14:44
393,"204,150,000 ₮","50,000 ₮",С. Г***Р,09:14:44
392,"204,100,000 ₮","50,000 ₮",Х. Ц***А,09:14:42
391,"204,050,000 ₮","1,000,000 ₮",О. Б***Р,09:14:39
390,"203,050,000 ₮","50,000 ₮",Д. О***Р,09:14:38
389,"203,000,000 ₮","50,000 ₮",Х. Ц***А,09:14:37
388,"202,950,000 ₮","1,000,000 ₮",О. Б***Р,09:14:36
387,"201,950,000 ₮","1,000,000 ₮",М. Б***Н,09:14:35
386,"200,950,000 ₮","1,000,000 ₮",Б. С***Н,09:14:31
385,"199,950,000 ₮","50,000 ₮",Х. Ц***А,09:14:31
384,"199,900,000 ₮","1,000,000 ₮",О. Б***Р,09:14:31
383,"198,900,000 ₮","50,000 ₮",Д. О***Р,09:14:31
382,"198,850,000 ₮","50,000 ₮",Ч. Б***Т,09:14:29
381,"198,800,000 ₮","50,000 ₮",Б. А***К,09:14:28
380,"198,750,000 ₮","1,000,000 ₮",Ж. Б***Ү,09:14:27
379,"197,750,000 ₮","50,000 ₮",Д. О***Р,09:14:25
378,"197,700,000 ₮","50,000 ₮",Х. Ц***А,09:14:25
377,"197,650,000 ₮","1,000,000 ₮",М. Б***Н,09:14:24
376,"196,650,000 ₮","1,000,000 ₮",С. Г***Р,09:14:22
375,"195,650,000 ₮","50,000 ₮",Д. О***Р,09:14:21
374,"195,600,000 ₮","50,000 ₮",Х. Ц***А,09:14:17
373,"195,550,000 ₮","1,000,000 ₮",Б. С***Н,09:14:13
372,"194,550,000 ₮","50,000 ₮",С. Г***Р,09:14:12
371,"194,500,000 ₮","50,000 ₮",Х. Ц***А,09:14:06
370,"194,450,000 ₮","1,000,000 ₮",Д. Б***Р,09:14:02
369,"193,450,000 ₮","50,000 ₮",Х. Ц***А,09:13:55
368,"193,400,000 ₮","50,000 ₮",Д. Б***Р,09:13:55
367,"193,350,000 ₮","1,000,000 ₮",М. Б***Н,09:13:51
366,"192,350,000 ₮","50,000 ₮",Х. Ц***А,09:13:50
365,"192,300,000 ₮","50,000 ₮",С. Г***Р,09:13:50
364,"192,250,000 ₮","50,000 ₮",Ч. Б***Т,09:13:49
363,"192,200,000 ₮","50,000 ₮",Х. Ц***А,09:13:28
362,"192,150,000 ₮","50,000 ₮",Ч. Б***Т,09:13:25
361,"192,100,000 ₮","50,000 ₮",Х. Ц***А,09:13:23
360,"192,050,000 ₮","50,000 ₮",Д. О***Р,09:13:22
359,"192,000,000 ₮","50,000 ₮",Ц. Б***Ж,09:13:21
358,"191,950,000 ₮","50,000 ₮",Х. Ц***А,09:13:19
357,"191,900,000 ₮","100,000 ₮",С. Г***Р,09:13:19
356,"191,800,000 ₮","50,000 ₮",Д. О***Р,09:13:17
355,"191,750,000 ₮","50,000 ₮",Х. Ц***А,09:13:15
354,"191,700,000 ₮","50,000 ₮",Д. О***Р,09:13:13
353,"191,650,000 ₮","50,000 ₮",Ж. Э***Д,09:13:01
352,"191,600,000 ₮","50,000 ₮",Х. Ц***А,09:13:01
351,"191,550,000 ₮","1,000,000 ₮",Я. Б***Ж,09:12:58
350,"190,550,000 ₮","50,000 ₮",С. Г***Р,09:12:57
349,"190,500,000 ₮","50,000 ₮",Х. Ц***А,09:12:55
348,"190,450,000 ₮","100,000 ₮",Ж. Э***Д,09:12:50
347,"190,350,000 ₮","1,000,000 ₮",О. Б***Р,09:12:48
346,"189,350,000 ₮","50,000 ₮",С. Г***Р,09:12:42
345,"189,300,000 ₮","1,000,000 ₮",О. Б***Р,09:12:41
344,"188,300,000 ₮","50,000 ₮",З. О***Р,09:12:41
343,"188,250,000 ₮","1,000,000 ₮",Х. Ц***А,09:12:41
342,"187,250,000 ₮","300,000 ₮",Ж. Э***Д,09:12:38
341,"186,950,000 ₮","1,000,000 ₮",О. Б***Р,09:12:29
340,"185,950,000 ₮","1,000,000 ₮",Ж. Э***Д,09:12:26
339,"184,950,000 ₮","1,000,000 ₮",О. Б***Р,09:12:17
338,"183,950,000 ₮","1,000,000 ₮",Ч. Б***Т,09:12:16
337,"182,950,000 ₮","50,000 ₮",С. Г***Р,09:12:16
336,"182,900,000 ₮","1,000,000 ₮",Ж. Э***Д,09:12:14
335,"181,900,000 ₮","1,000,000 ₮",О. Б***Р,09:12:08
334,"180,900,000 ₮","50,000 ₮",Х. Ц***А,09:12:01
333,"180,850,000 ₮","1,000,000 ₮",О. Б***Р,09:12:00
332,"179,850,000 ₮","300,000 ₮",О. Д***Н,09:11:41
331,"179,550,000 ₮","50,000 ₮",Д. О***Р,09:11:31
330,"179,500,000 ₮","1,000,000 ₮",Ж. Б***Ү,09:11:26
329,"178,500,000 ₮","50,000 ₮",Х. Ц***А,09:11:25
328,"178,450,000 ₮","1,000,000 ₮",Ч. Б***Т,09:11:20
327,"177,450,000 ₮","50,000 ₮",Х. Ц***А,09:11:13
326,"177,400,000 ₮","100,000 ₮",С. Г***Р,09:11:05
325,"177,300,000 ₮","50,000 ₮",О. Д***Н,09:11:03
324,"177,250,000 ₮","500,000 ₮",Х. Ц***А,09:11:00
323,"176,750,000 ₮","50,000 ₮",Д. О***Р,09:10:59
322,"176,700,000 ₮","50,000 ₮",Д. Б***Р,09:10:50
